price,"location.lat","location.long"
"4995.0","37.801053","-122.442176"
"5000.0","37.79457","-122.39994"
"2700.0","37.751376","-122.507429"
"2600.0","37.73042","-122.38442"
"4300.0","37.780699","-122.403921"
"3200.0","37.7441","-122.4863"
"5500.0","37.796063","-122.428538"
"3950.0","37.756438","-122.469003"
"4950.0","37.766805","-122.417645"
"9000.0","37.791017","-122.399149"
"2850.0","37.77493","-122.41942"
"7000.0","37.777922","-122.412568"
"5250.0","37.766576","-122.439502"
"3000.0","37.781144","-122.494489"
"4000.0","37.77493","-122.41942"
"4995.0","37.792088","-122.444656"
"6400.0","37.78067","-122.38814"
"5250.0","37.803761","-122.413223"
"3000.0","37.784853","-122.465632"
"2800.0","37.7786","-122.4892"
"4395.0","37.777401","-122.405301"
"3850.0","37.786928","-122.456875"
"3895.0","37.799997","-122.427645"
"3395.0","37.786368","-122.415994"
"5200.0","37.787996","-122.393597"
"6800.0","37.795945","-122.421768"
"6200.0","37.786765","-122.392053"
"3645.0","37.785964","-122.456963"
"4500.0","37.750963","-122.439547"
"4200.0","37.757245","-122.432429"
"5750.0","37.786691","-122.44356"
"1650.0","37.77475","-122.43603"
"5000.0","37.778017","-122.409337"
"6500.0","37.79868","-122.415572"
"3799.0","37.779277","-122.392211"
"3950.0","37.786369","-122.424774"
"7900.0","37.804383","-122.445793"
"3000.0","37.7712","-122.4413"
"6950.0","37.772943","-122.423868"
"4495.0","37.764868","-122.423115"
"4995.0","37.745095","-122.414173"
"3745.0","37.715764","-122.47381"
"6250.0","37.786068","-122.392937"
"3800.0","37.744131","-122.421341"
"8900.0","37.791153","-122.395813"
"4295.0","37.783619","-122.422653"
"4155.0","37.78504","-122.435671"
"1900.0","37.756976","-122.499234"
"3180.0","37.7211","-122.4754"
"5449.0","37.7974","-122.4001"
"2680.0","37.776302","-122.484461"
"5342.0","37.773547","-122.390463"
"5000.0","37.787776","-122.412533"
"2345.0","37.71498","-122.40532"
"3650.0","37.78446","-122.431183"
"4260.0","37.791456","-122.392342"
"4545.0","37.761324","-122.38864"
"3500.0","37.77493","-122.41942"
"5250.0","37.800415","-122.424359"
"3995.0","37.78859","-122.447326"
"4299.0","37.79252","-122.43823"
"4250.0","37.789372","-122.444788"
"4950.0","37.79811","-122.44587"
"4404.0","37.7694","-122.3867"
"2123.0","37.72715","-122.43681"
"3500.0","37.744503","-122.451626"
"1733.0","37.72715","-122.43681"
"2950.0","37.733098","-122.442002"
"5500.0","37.793745","-122.420354"
"3555.0","37.780181","-122.409709"
"4550.0","37.787578","-122.421523"
"5290.0","37.787578","-122.421523"
"5100.0","37.787578","-122.421523"
"5400.0","37.787578","-122.421523"
"3500.0","37.77493","-122.41942"
"3250.0","37.7211","-122.4754"
"3480.0","37.758722","-122.446021"
"3400.0","37.76922","-122.44814"
"2750.0","37.71498","-122.40532"
"8950.0","37.790461","-122.39669"
"4200.0","37.759792","-122.400143"
"5020.0","37.772614","-122.39851"
"3799.0","37.779277","-122.392211"
"4800.0","37.785639","-122.397265"
"2295.0","37.77493","-122.41942"
"3895.0","37.792709","-122.418504"
"3925.0","37.779062","-122.507234"
"3995.0","37.793014","-122.416113"
"4000.0","37.77493","-122.41942"
"1500.0","37.72715","-122.43681"
"5889.0","37.77408","-122.390142"
"3595.0","37.778517","-122.423873"
"9750.0","37.791744","-122.446897"
"4250.0","37.795186","-122.427564"
"8250.0","37.794058","-122.436567"
"3595.0","37.75986","-122.4148"
"6750.0","37.80051","-122.426609"
"9550.0","37.79405","-122.436426"
"5995.0","37.768732","-122.451734"
"3150.0","37.786003","-122.418863"
"4500.0","37.798097","-122.417186"
"3500.0","37.801934","-122.412919"
"3250.0","37.77987","-122.46475"
"6700.0","37.794728","-122.43149"
"4250.0","37.795203","-122.427607"
"4250.0","37.760101","-122.421425"
"2925.0","37.794042","-122.452358"
"2995.0","37.7725","-122.4147"
"5995.0","37.80271","-122.4058"
"5995.0","37.804367","-122.408332"
"3188.0","37.779296","-122.395304"
"4500.0","37.7621","-122.3971"
"5025.0","37.762682","-122.425268"
"4300.0","37.786301","-122.425311"
"4435.0","37.776668","-122.419238"
"1676.0","37.7759","-122.50287"
"2400.0","37.77493","-122.41942"
"4655.0","37.773564","-122.391"
"4650.0","37.762463","-122.398461"
"5315.0","37.786248","-122.402025"
"3200.0","37.7441","-122.4863"
"1699.0","37.72715","-122.43681"
"5325.0","37.7813","-122.4167"
"4403.0","37.776651","-122.417715"
"4350.0","37.781306","-122.406248"
"3181.0","37.7211","-122.4754"
"3900.0","37.747782","-122.487842"
"1400.0","37.7759","-122.50287"
"2000.0","37.75611","-122.476554"
"4195.0","37.789099","-122.424796"
"3600.0","37.790227","-122.408251"
"3700.0","37.790227","-122.408251"
"3700.0","37.776789","-122.42747"
"3700.0","37.776789","-122.42747"
"3180.0","37.77493","-122.41942"
"5200.0","37.789726","-122.42883"
"4195.0","37.789133","-122.424431"
"5000.0","37.794158","-122.424781"
"4250.0","37.789692","-122.428851"
"1999.0","37.781477","-122.49666"
"3250.0","37.7211","-122.4754"
"4295.0","37.789629","-122.435673"
"4000.0","37.742214","-122.418594"
"1475.0","37.7759","-122.50287"
"3750.0","37.787","-122.43682"
"4000.0","37.778228","-122.445159"
"2900.0","37.7354","-122.4571"
"2995.0","37.772207","-122.413616"
"2995.0","37.772112","-122.413713"
"4650.0","37.761476","-122.393488"
"3400.0","37.774446","-122.452948"
"4503.0","37.780265","-122.403387"
"3400.0","37.738123","-122.410264"
"5200.0","37.803545","-122.4119"
"2700.0","37.763467","-122.479267"
"4800.0","37.760461","-122.428465"
"3895.0","37.769807","-122.423371"
"4495.0","37.75986","-122.4148"
"5995.0","37.798949","-122.446039"
"2800.0","37.77966","-122.43874"
"3645.0","37.785818","-122.456961"
"4600.0","37.747339","-122.409378"
"4200.0","37.752108","-122.41185"
"3500.0","37.759825","-122.467153"
"4900.0","37.779996","-122.389487"
"2700.0","37.7759","-122.50287"
"4295.0","37.790405","-122.413123"
"3250.0","37.772098","-122.420758"
"7260.0","37.7999","-122.4342"
"3800.0","37.773449","-122.491798"
"3795.0","37.785105","-122.440994"
"6500.0","37.7969","-122.421961"
"3750.0","37.772232","-122.509959"
"6850.0","37.790878","-122.403093"
"3750.0","37.772232","-122.509959"
"3495.0","37.714897","-122.460718"
"4995.0","37.753921","-122.430472"
"4990.0","37.771717","-122.42362"
"2900.0","37.782802","-122.467629"
"3800.0","37.797972","-122.444153"
"3975.0","37.741942","-122.419109"
"6900.0","37.791153","-122.395813"
"10500.0","37.791153","-122.395813"
"4290.0","37.79065","-122.408886"
"3180.0","37.772316","-122.428802"
"2650.0","37.782163","-122.477152"
"3690.0","37.76795","-122.425354"
"650.0","37.77987","-122.46475"
"1250.0","37.71498","-122.40532"
"6930.0","37.7786","-122.4892"
"2900.0","37.761219","-122.487927"
"5695.0","37.801506","-122.423236"
"4995.0","37.757818","-122.418975"
"4995.0","37.755437","-122.418748"
"1000.0","37.7712","-122.4413"
"3595.0","37.76228","-122.4618"
"7450.0","37.755821","-122.419367"
"6050.0","37.78067","-122.38814"
"7225.0","37.786765","-122.392053"
"7225.0","37.786068","-122.392937"
"2600.0","37.71498","-122.40532"
"4000.0","37.750646","-122.411472"
"5045.0","37.777138","-122.39305"
"3000.0","37.76228","-122.4618"
"4295.0","37.74116","-122.41784"
"5500.0","37.796461","-122.440422"
"2800.0","37.78594","-122.4907"
"4650.0","37.786816","-122.461471"
"3500.0","37.7509","-122.4153"
"3850.0","37.77021","-122.445345"
"2000.0","37.77493","-122.41942"
"4995.0","37.7587","-122.433"
"5289.0","37.77409","-122.391086"
"4000.0","37.750851","-122.428096"
"4403.0","37.776634","-122.417758"
"4000.0","37.743707","-122.482131"
"4650.0","37.7623","-122.43827"
"1800.0","37.7759","-122.50287"
"3500.0","37.71627","-122.38882"
"2380.0","37.726084","-122.409527"
"2380.0","37.726084","-122.409527"
"1895.0","37.773131","-122.492833"
"3495.0","37.795678","-122.391815"
"7500.0","37.805689","-122.435545"
"4995.0","37.785826","-122.424517"
"3450.0","37.7211","-122.4754"
"3650.0","37.795542","-122.391644"
"5950.0","37.785899","-122.39937"
"5450.0","37.768596","-122.426706"
"7225.0","37.786765","-122.392053"
"4500.0","37.774031","-122.395577"
"3595.0","37.767581","-122.431422"
"4995.0","37.755634","-122.418916"
"3800.0","37.775823","-122.407758"
"4995.0","37.798472","-122.417218"
"5900.0","37.79252","-122.43823"
"4265.0","37.791456","-122.392342"
"2500.0","37.72168","-122.411123"
"1682.0","37.7759","-122.50287"
"4200.0","37.763077","-122.388276"
"3895.0","37.7725","-122.4147"
"3650.0","37.775726","-122.446456"
"7500.0","37.8002","-122.4091"
"2575.0","37.7759","-122.50287"
"4995.0","37.779068","-122.438621"
"6484.0","37.779116","-122.404841"
"4850.0","37.786627","-122.46576"
"10000.0","37.783146","-122.394606"
"4200.0","37.760851","-122.448959"
"5800.0","37.795945","-122.421768"
"5500.0","37.746465","-122.408125"
"3795.0","37.790206","-122.438165"
"5493.0","37.774175","-122.391161"
"1500.0","37.731574","-122.442021"
"2995.0","37.7211","-122.4754"
"3850.0","37.79804","-122.41514"
"3295.0","37.769779","-122.446888"
"3995.0","37.79457","-122.39994"
"4025.0","37.763048","-122.388738"
"2100.0","37.714394","-122.413728"
"2000.0","37.75611","-122.476554"
"4044.0","37.777555","-122.413034"
"3295.0","37.77043","-122.443621"
"3199.0","37.7211","-122.4754"
"3300.0","37.7509","-122.4153"
"4218.0","37.785067","-122.435569"
"6240.0","37.786068","-122.392937"
"4900.0","37.74116","-122.41784"
"1856.0","37.7759","-122.50287"
"1465.0","37.79857","-122.40795"
"6075.0","37.786068","-122.392937"
"3595.0","37.769779","-122.446888"
"6000.0","37.791153","-122.395813"
"6200.0","37.791153","-122.395813"
"3600.0","37.795949","-122.433573"
"4000.0","37.77493","-122.41942"
"2600.0","37.7759","-122.50287"
"4170.0","37.785043","-122.435702"
"5495.0","37.794458","-122.426045"
"4295.0","37.782685","-122.422464"
"3400.0","37.73746","-122.49855"
"5000.0","37.754359","-122.4366"
"2995.0","37.72992","-122.46642"
"4350.0","37.793254","-122.421263"
"1462.0","37.7759","-122.50287"
"4218.0","37.785105","-122.435683"
"4795.0","37.764868","-122.423115"
"2945.0","37.787493","-122.414694"
"5800.0","37.756448","-122.441627"
"4195.0","37.769619","-122.4262"
"6000.0","37.777028","-122.393184"
"4395.0","37.787836","-122.393396"
"4000.0","37.775176","-122.457819"
"3647.0","37.71418","-122.45663"
"4400.0","37.79091","-122.42239"
"6150.0","37.786248","-122.402025"
"5023.0","37.78067","-122.38814"
"4500.0","37.764438","-122.500044"
"4350.0","37.793254","-122.421263"
"3950.0","37.771983","-122.497047"
"4800.0","37.783137","-122.454456"
"4360.0","37.779277","-122.392211"
"4750.0","37.785542","-122.396705"
"3500.0","37.787352","-122.446083"
"3250.0","37.787403","-122.413299"
"3950.0","37.732746","-122.485427"
"3595.0","37.759265","-122.489722"
"3750.0","37.76922","-122.44814"
"3650.0","37.761303","-122.470417"
"1300.0","37.72715","-122.43681"
"3650.0","37.778517","-122.446854"
"1495.0","37.72992","-122.46642"
"5199.0","37.796879","-122.437138"
"1935.0","37.72715","-122.43681"
"3900.0","37.797075","-122.416936"
"4250.0","37.778501","-122.447998"
"3400.0","37.775103","-122.469708"
"4205.0","37.7195","-122.4411"
"3995.0","37.7587","-122.433"
"3975.0","37.775787","-122.393355"
