STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140306,8,-9999,0,172,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140307,0,-9999,0,172,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140308,0,-9999,0,217,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140309,0,-9999,0,206,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140310,8,-9999,0,189,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140311,0,-9999,0,217,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140312,0,-9999,0,228,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140313,0,-9999,0,222,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140314,0,-9999,0,189,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140315,0,-9999,0,244,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140316,0,-9999,0,189,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140317,0,-9999,0,178,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140318,0,-9999,0,206,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140319,0,-9999,0,222,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140320,0,-9999,0,178,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140321,0,-9999,0,161,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140322,0,-9999,0,167,94
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140323,0,-9999,0,156,94
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140324,0,-9999,0,172,89
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140325,41,-9999,0,156,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140326,147,-9999,0,150,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140327,0,-9999,0,172,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140328,0,-9999,0,194,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140329,188,-9999,0,150,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140330,0,-9999,0,150,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140331,193,-9999,-9999,133,83
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140401,226,-9999,0,139,78
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140402,0,-9999,0,150,78
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140403,0,-9999,0,156,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140404,97,-9999,0,144,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140405,0,-9999,0,161,94
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140406,0,-9999,0,217,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140407,0,-9999,0,267,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140408,0,-9999,0,239,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140409,0,-9999,0,150,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140410,0,-9999,0,200,94
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140411,0,-9999,0,156,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140412,0,-9999,0,161,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140413,0,-9999,0,172,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140414,0,-9999,0,183,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140415,0,-9999,0,178,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140416,0,-9999,0,200,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140417,0,-9999,0,172,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140418,0,-9999,0,156,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140419,0,-9999,0,156,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140420,0,-9999,0,239,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140421,3,-9999,0,172,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140422,3,-9999,0,150,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140423,0,-9999,0,161,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140424,0,-9999,0,161,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140425,66,-9999,0,133,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140426,0,-9999,-9999,144,83
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140427,10,-9999,0,161,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140428,0,-9999,0,189,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140429,0,-9999,0,272,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140430,0,-9999,0,322,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140501,0,-9999,0,289,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140502,0,-9999,0,189,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140503,0,-9999,0,167,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140504,0,-9999,0,183,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140505,0,-9999,0,167,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140506,0,-9999,0,189,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140507,0,-9999,0,167,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140508,8,-9999,0,172,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140509,0,-9999,0,172,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140510,0,-9999,0,167,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140511,0,-9999,0,228,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140512,0,-9999,0,272,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140513,0,-9999,0,322,150
